Disease,symptoms
Age-related macular degeneration,you symptoms disease worse you problems your central vision symptoms dry amd common symptom dry amd blurred vision objects center your vision distorted dim colors faded you trouble reading print details you well enough walk daily activities dry amd worse you need light read everyday tasks blurred spot center vision gradually larger darker later stages dry amd you able recognize faces they symptoms wet amd common early symptom wet amd straight lines distorted wavy there small dark spot center your vision larger types amd central vision loss quickly happens you need right ophthalmologist sure eye treating problems retina
Cataract - adult,cataracts slowly painlessly vision affected eye slowly worse problems cataracts decreased vision daylight cataracts similar changes eyes eye worse there only mild vision changes mild clouding lens age 60 vision problems age 75 cataracts affect their vision being sensitive glare cloudy fuzzy foggy filmy vision difficulty night dim light double vision loss color intensity problems shapes background difference shades colors halos lights frequent changes eyeglass prescriptions
Color blindness,symptoms vary symptoms mild know they color blind parent notice signs color blindness when young learning colors rapid side-to-side eye movements nystagmus symptoms severe cases trouble colors brightness colors usual inability tell difference shades similar colors
Scleritis,symptoms scleritis rare disease no eye pain redness blurred vision eye pain tenderness severe red patches normally white eye sensitivity light painful tearing eye
Strabismus,symptoms strabismus come go symptoms important note aware double vision because amblyopia quickly crossed eyes double vision eyes aim direction uncoordinated eye movements eyes move together loss vision depth perception
Uveitis,uveitis affect eyes symptoms depend uvea inflamed symptoms rapidly blurred vision dark floating spots vision eye pain redness eye sensitivity light
Chalazion,chalazion internal hordeolum called stye eyelid tender red swollen warm blocked gland causing stye drain redness swelling go gland firm nodule eyelid tender called chalazion
Ectropion,symptoms you ectropion you likely excess tearing happens because eye dry then tears excess tears can't into tear drainage duct they build up lower lid then spill edge lid onto cheek dry painful eyes excess tearing eye epiphora eyelid turns outward downward long-term chronic conjunctivitis keratitis redness lid white eye
Entropion,symptoms decreased vision cornea damaged excessive tearing eye discomfort pain eye irritation redness
Eyelid bump,addition red swollen bump possible symptoms stye gritty scratchy sensation there foreign your eye sensitivity light tearing your eye tenderness eyelid
Conjunctivitis or pink eye,symptoms blurred vision crusts eyelid overnight bacteria eye pain gritty eyes increased tearing itching eye redness eyes sensitivity light
Pterygium,main symptom pterygium painless raised white tissue blood vessels inner outer edge cornea pterygium no symptoms inflamed burning irritation there's foreign eye vision affected growth extends enough onto cornea
Orbital cellulitis,symptoms painful swelling upper lower eyelid possibly eyebrow cheek bulging eyes decreased vision pain when moving eye fever 102â f 38 8â c higher general ill difficulty eye movements double vision shiny red purple eyelid
Keratoconus,earliest symptom slight blurring vision cannot corrected glasses vision corrected 20 20 rigid gas-permeable contact lenses you halos glare night vision problems who keratoconus history being nearsighted nearsightedness tends worse problem worse astigmatism worsen keratoconus discovered teenage years older
Amblyopia,symptoms condition eyes turn out eyes work together inability judge depth correctly poor vision eye
Astigmatism,astigmatism hard fine details up distance
Blocked tear duct,main symptom increased tearing epiphora tears overflow onto face cheek babies tearing noticeable 2â 3 weeks birth tears thicker tears dry crusty there pus eyes eyelids stuck together your baby eye infection called conjunctivitis
Corneal injury,symptoms blurred vision eye pain stinging burning eye your eye scratch your eye light sensitivity redness eye swollen eyelids watery eyes increased tearing
