Disease,Symptoms
Hypothermia,"As a person develops hypothermia, they slowly lose the ability to think and move. In fact, they may even be unaware that they need emergency treatment. Someone with hypothermia also is likely to have frostbite.; The symptoms include:; Lethargy (weakness and sleepiness), cardiac arrest, shock, and coma can set in without prompt treatment. Hypothermia can be fatal.; Confusion; Drowsiness; Pale and cold skin; Slowed breathing or heart rate; Shivering that cannot be controlled (although at extremely low body temperatures, shivering may stop); Weakness and loss of coordination"
Shock,"A person in shock has extremely low blood pressure. Depending on the specific cause and type of shock, symptoms will include one or more of the following:; Anxiety or agitation/restlessness; Bluish lips and fingernails; Chest pain; Confusion; Dizziness, lightheadedness, or faintness; Pale, cool, clammy skin; Low or no urine output; Profuse sweating, moist skin; Rapid but weak pulse; Shallow breathing; Being
   unconscious (unresponsive)"
How to make a splint,
Sprains,"Symptoms of a sprain include:; Joint pain or muscle pain; Swelling; Joint stiffness; Discoloration of the skin, especially bruising"
Strains,Symptoms of a strain can include:; Pain and difficulty moving the injured muscle; Discolored and bruised skin; Swelling
Cuts and puncture wounds,"Symptoms include:; Infection may occur with some cuts and puncture wounds. The following are more likely to become infected:; Bleeding; Problems with function (movement) or feeling (numbness, tingling) below the wound site; Pain; Bites; Punctures; Crush injuries; Dirty wounds; Wounds on the feet; Wounds that are not promptly treated"
Genital injury,Symptoms may include:; Abdominal pain; Bleeding; Bruising; Change in shape of the affected area; Faintness; Foul-smelling vaginal or urethral discharge; Object embedded in a body opening; Groin pain or genital pain (can be extreme); Swelling; Urine drainage; Vomiting; Urination that is painful or the inability to urinate; Open wound
Bleeding,"You may have symptoms such as:; Bleeding can also cause shock, which may include any of the following symptoms:; Symptoms of internal bleeding may include those listed above for shock as well as the following:; Blood coming from a natural opening in the body may also be a sign of internal bleeding. These symptoms include:; Blood coming from an open wound; Bruising; Confusion or decreasing alertness; Clammy skin; Dizziness or light headedness after an injury; Low blood pressure; Paleness (pallor); Rapid pulse (increased heart rate); Shortness of breath; Weakness; Abdominal pain and swelling; Chest pain; Skin color changes; Blood in the stool (appears black, maroon, or bright red); Blood in the urine (appears red, pink, or tea-colored); Blood in the vomit (looks bright red, or brown like coffee-grounds); Vaginal bleeding (heavier than usual or after menopause)"
Non-fatal drowning,"Symptoms can vary, but may include:; Swollen belly (abdominal distention); Bluish skin of the face, especially around the lips; Chest pain; Cold skin and pale appearance; Confusion; Cough with pink, frothy sputum; Irritability; Lethargy; No breathing; Restlessness; Shallow or gasping respirations; Unconsciousness (lack of responsiveness); Vomiting"
Abdominal thrusts,
Choking - infant under 1 year,"The danger signs of choking are:; Bluish skin color (cyanosis); Difficulty breathing -- ribs and chest pull inward; Loss of consciousness (unresponsiveness) if blockage is not cleared; Inability to cry or make much sound; Weak, ineffective coughing; Soft or high-pitched sounds while inhaling"
Choking - adult or child over 1 year,"When an older child or adult is choking, they will often grab their throat with the hand. If the person does not do this, look for these danger signs:; Inability to speak; Difficulty breathing; Noisy breathing or high-pitched sounds while inhaling; Weak, ineffective coughing; Bluish skin color (cyanosis); Loss of consciousness (unresponsiveness) if blockage is not cleared"
Choking - unconscious adult or child over 1 year,Symptoms of choking when a person is unconscious include:; Bluish color to the lips and nails (cyanosis); Inability to breathe
Ear emergencies,Symptoms include:; Bleeding from the ear; Bruising or redness; Clear liquid coming out of the ear (brain fluid also called cerebrospinal fluid); Dizziness; Earache; Loss of hearing; Nausea and vomiting; Noises in the ear; Sensations of an object in the ear; Swelling; Visible object in the ear; Fever; Hearing loss
Electrical injury,"Symptoms depend on many things, including:; Symptoms may include:; Type and strength of voltage; How long you were in contact with the electricity; How the electricity moved through your body; Your overall health; Changes in alertness (consciousness); Broken bones; Heart attack (chest, arm, neck, jaw, or back pain); Headache; Problems with swallowing, vision, or hearing; Irregular heartbeat; Muscle spasms and pain; Numbness or tingling; Breathing problems or lung failure; Seizures; Skin burns"
Eye emergencies,"Depending on the type of injury, any of the following symptoms may be present:; Bleeding or other discharge from or around the eye; Bruising; Decreased vision; Double vision; Eye pain; Headache; Itchy eyes; Loss of vision, total or partial, one eye or bothÂ; Pupils of unequal size; Redness -- bloodshot appearance; Sensation of something in the eye; Sensitivity to light; Stinging or burning in the eye"
Fishhook removal,A fishhook stuck in the skin can cause:; Pain; Localized swelling; Bleeding
Heat emergencies,"Muscle cramps are the first stage of heat illness. If heat exposure continues and these symptoms are not treated, they can lead to heat exhaustion and then heat stroke.; Heat stroke occurs when the body is no longer able to regulate its temperature, and it keeps rising. Heat stroke can cause shock, brain damage, organ failure, and even death.; The early symptoms of heat illness include:; Later symptoms of heat exhaustion include:; The symptoms of heatstroke include those of heat exhaustion in combination with very high body temperature and significant neurologic symptoms (call 911 or the local emergency number right away):; Muscle cramps and pains that most often occur in the legs or abdomen, and may be due to multiple factors including exercising in the heat.; Fatigue; Thirst; Very heavy
  sweating; Cool, moist skin; Dark urine; Dizziness, lightheadedness; Headache; Nausea and vomiting; Weakness; Rapid, shallow breathing; Rapid, weak pulse; Fever -- temperature above 104Â°F (40Â°C); Extreme confusion (altered level of consciousness); Irrational behavior; Seizures; Unconsciousness (loss of responsiveness)"
Frostbite,"Symptoms of frostbite may include:; Very severe frostbite may cause:; Frostbite may affect any part of the body. The hands, feet, nose, and ears are the places most prone to frostbite.; Pins and needles feeling, followed by numbness; Hard, pale, and cold skin that has been exposed to the cold for too long; Aching, throbbing or lack of feeling in the affected area; Red and extremely painful skin and muscle as the area thaws; Blisters; Gangrene (blackened, dead tissue); Damage to tendons, muscles, nerves, and bone; If the frostbite did not affect your blood vessels, a complete recovery is possible.; If the frostbite affected the blood vessels, the damage is permanent. Gangrene may occur. This may require removal of the affected body part (amputation)."
Broken or knocked out tooth,
Chemical burn or reaction,"Depending on the type of exposure, the symptoms may include:; Abdominal pain; Breathing difficulty; Bright red or bluish skin and lips; Convulsions (seizures); Dizziness; Eye pain, burning or watering; Headache; Hives, itching, swelling, or weakness resulting from an allergic reaction; Irritability; Nausea andÂ vomiting; Pain where the skin has come in contact with the toxic substance; Rash, blisters, burns on the skin; Unconsciousness or other states of altered level of consciousness"
Skull fracture,"Symptoms may include:; In some cases, the only symptom may be a bump on the head. A bump or bruise may take up to 24 hours to develop.; Bleeding from wound, ears, nose, or around eyes; Bruising behind the ears or under the eyes; Changes in pupils (sizes unequal, not reactive to light); Confusion; Convulsions (seizures); Difficulties with balance; Drainage of clear or bloody fluid from ears or nose; Drowsiness; Headache; Loss of consciousness (unresponsiveness); Nausea and vomiting; Restlessness, irritability; Slurred speech; Stiff neck; Swelling; Visual disturbances"
Nose fracture,Symptoms may include:; The bruised appearance most often disappears after 2 weeks.; Blood coming from the nose; Bruising around the eyes; Difficulty breathing through the nose; Misshapen appearance (may not be apparent until the swelling goes down); Pain; Swelling
Heart attack first aid,"Symptoms of a heart attack can vary from person to person. They may be mild or severe. Women, older adults, and people with diabetes are more likely to have subtle or unusual symptoms.; Symptoms in adults may include:; Changes in mental status, especially in older adults.; Chest pain that feels like pressure, squeezing, or fullness. The pain is most often in the center of the chest. It may also be felt in the jaw, shoulder, arms, back, and stomach. It can last for more than a few minutes, or come and go.; Cold sweat.; Lightheadedness.; Nausea (more common in women).; Indigestion.; Vomiting.; Numbness, aching, or tingling in the arm (usually the left arm, but the right arm may be affected alone, or along with the left).; Shortness of breath.; Weakness or fatigue, especially in older adults and in women."
Sleep disorders in older adults,"Symptoms that may occur include:; Difficulty falling asleep; Difficulty telling the difference between night and day; Early morning awakening; Waking up often during the night (for example, due to nocturia)"
Atelectasis,Symptoms may include any of the following:; There are no symptoms if atelectasis is mild.; Breathing difficulty; Chest pain; Cough
Lung disease,
Blockage of upper airway,"Symptoms vary, depending on the cause. But some symptoms are common to all types of airway blockage. These include:; Agitation or fidgeting; Bluish color of the skin (cyanosis); Changes in consciousness; Choking; Confusion; Difficulty breathing, gasping for air, leading to panic; Unconsciousness (lack of responsiveness); Wheezing, crowing, whistling, or other unusual breathing noises indicating breathing difficulty"
